ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,  COORD-COORD1,  COORD-COORD2
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1491,       101.526,       11.9119,            0.,NA,NA,"",       101.166,       11.1169
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1494,       123.275,       10.8232,            0.,NA,NA,"",       123.699,       11.0696
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1532,       107.295,       17.3189,            0.,NA,NA,"",       108.465,       17.6908
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1540,       109.193,       17.1296,            0.,NA,NA,"",       108.465,       17.6908
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1541,       121.619,       18.6083,            0.,NA,NA,"",       121.280,       17.5278
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1542,       108.180,       19.1853,            0.,NA,NA,"",       108.465,       17.6908
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1652,       242.403,      -20.6181,            0.,NA,NA,"",       242.908,      -18.8269
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1698,       245.508,      -17.7865,            0.,NA,NA,"",       242.908,      -18.8269
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1700,       232.469,      -11.8374,            0.,NA,NA,"",       230.936,      -13.5200
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1703,       182.968,      -14.4638,            0.,NA,NA,"",       181.922,      -13.8395
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1769,       201.765,      -10.1754,            0.,NA,NA,"",       203.885,      -11.1323
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1770,       205.366,      -10.5748,            0.,NA,NA,"",       203.885,      -11.1323
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1776,       229.083,      -12.0754,            0.,NA,NA,"",       230.936,      -13.5200
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1777,       243.663,      -12.4228,            0.,NA,NA,"",       242.213,      -13.3374
C:/Users/Guillaume/OneDrive - UCB-O365/Documents/Research/Mullins_Damage_Fracture/Github_example/Job-1.odb,Step-1,Increment         0: Step Time = 0.0,"PART-2-1",          1783,       181.174,      -11.8538,            0.,NA,NA,"",       181.922,      -13.8395
